idx,name,info,filename
1,H1,harmonic H1,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\H1_v1.3.wav
2,H2,harmonic H2,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\H2_v1.3.wav
3,H3,harmonic H3,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\H3_v1.3.wav
4,H4,harmonic H4,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\H4_v1.3.wav
5,HC1,cluster HC1 (count=24),C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\HC1_v1.3.wav
6,HC2,cluster HC2 (count=24),C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\HC2_v1.3.wav
7,HC3,cluster HC3 (count=24),C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\HC3_v1.3.wav
8,HC4,cluster HC4 (count=24),C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\HC4_v1.3.wav
9,NC1,inharm NC1,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\NC1_v1.3.wav
10,NC2,inharm NC2,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\NC2_v1.3.wav
11,NC3,inharm NC3,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\NC3_v1.3.wav
12,NC4,inharm NC4,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\NC4_v1.3.wav
13,S1,noise white,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\S1_v1.3.wav
14,S2,noise pink,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\S2_v1.3.wav
15,S3,noise band,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\S3_v1.3.wav
16,S4,noise band_plus_clusters,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\S4_v1.3.wav
17,M1,combo M1,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\M1_v1.3.wav
18,M2,combo M2,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\M2_v1.3.wav
19,M3,combo M3,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\M3_v1.3.wav
20,M4,combo M4,C:\Users\davej\OneDrive\Dokumenty\MATLAB\B2TB\all20\samples_v1.3\M4_v1.3.wav
